Function,Dimension,Run,ErrorValue
4,10,33,1.90055102e+03
4,10,34,1.90041057e+03
4,10,35,1.90040642e+03
4,10,36,1.90053896e+03
4,10,37,1.90040992e+03
4,10,38,1.90045418e+03
4,10,39,1.90036510e+03
4,10,40,1.90040926e+03
4,10,41,1.90044727e+03
4,10,42,1.90047982e+03
4,10,43,1.90030358e+03
4,10,44,1.90029264e+03
4,10,45,1.90042849e+03
4,10,46,1.90046063e+03
4,10,47,1.90055096e+03
4,10,48,1.90039869e+03
4,10,49,1.90040077e+03
4,10,50,1.90052613e+03
4,10,51,1.90065887e+03
5,10,1,1.70062443e+03
5,10,2,1.70219806e+03
5,10,3,1.70041629e+03
5,10,4,1.70141125e+03
5,10,5,1.70020814e+03
5,10,6,1.70020814e+03
5,10,7,1.70000000e+03
5,10,8,1.70041629e+03
5,10,9,1.70120310e+03
5,10,10,1.70120310e+03
5,10,11,1.70319302e+03
5,10,12,1.70120310e+03
5,10,13,1.70161939e+03
5,10,14,1.70020814e+03
5,10,15,1.70020814e+03
5,10,16,1.70020814e+03
5,10,17,1.70120310e+03
5,10,18,1.70000000e+03
5,10,19,1.70041629e+03
5,10,20,1.70041629e+03
5,10,21,1.70020814e+03
5,10,22,1.70319302e+03
5,10,23,1.70041629e+03
5,10,24,1.70158484e+03
5,10,25,1.70497479e+03
5,10,26,1.70020814e+03
5,10,27,1.70041629e+03
5,10,28,1.70418797e+03
5,10,29,1.70141125e+03
5,10,30,1.70020814e+03
5,10,31,1.70141125e+03
5,10,32,1.70099496e+03
5,10,33,1.70161939e+03
5,10,34,1.70020814e+03
5,10,35,1.70041629e+03
5,10,36,1.70319302e+03
5,10,37,1.70041629e+03
5,10,38,1.70141125e+03
5,10,39,1.70141125e+03
5,10,40,1.70141125e+03
5,10,41,1.70000000e+03
5,10,42,1.70883024e+03
5,10,43,1.70240620e+03
5,10,44,1.70099496e+03
5,10,45,1.70141125e+03
5,10,46,1.70020814e+03
5,10,47,1.70141125e+03
5,10,48,1.70041629e+03
5,10,49,1.70062443e+03
5,10,50,1.70219806e+03
5,10,51,1.70120310e+03
6,10,1,1.60051137e+03
6,10,2,1.60059087e+03
